pointid,bundesland,probenahme_monat,probenahme_jahr,xcoord,ycoord,bodenklimaraum_name,landnutzung,bze_moor,hauptbodentyp,bodenvartypsub,grundwastufe,grundwastand,moormaechtigkeit,torfmaechtigkeit,neigung,exposition,woelbung,reliefformtyp,lageimrelief,kv_0_30,kv_30_100,profile_picture
4993,BY,8,2013,641554.7254,5361612.887,Tertiär-Hügelland Donau-Süd,A,0,AZ,vGG-AZ,0,NA,0,0,N0,,GG,TS,Z,71.12,15.33,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_4993_Z_1.GIF
4995,BY,10,2013,658207.6644,5362020.865,Tertiär-Hügelland Donau-Süd,A,0,SS,cSSn,0,>200,0,0,N3.1,SS,GV,HF,Z,71.41,35.58,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_4995_Z_1.GIF
4996,BY,9,2013,666114.3847,5360596.208,Tertiär-Hügelland Donau-Süd,G,0,SS,vYK-SS,0,>200,0,0,N3,NN,GG,H,U,91.37,49.65,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_4996_Z_1.GIF
4997,BY,10,2013,672272.1036,5362423.437,Tertiär-Hügelland Donau-Süd,A,0,BB,BBn,0,>200,0,0,N3.1,SW,XX,HF,Z,45.82,13.95,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_4997_Z_1.GIF
4998,BY,8,2013,681904.8627,5362664.751,Tertiär-Hügelland Donau-Süd,A,0,SS,SSn,0,>200,0,0,N2,EE,GG,H,M,60.64,24.14,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_4998_Z_1.GIF
5002,BY,10,2014,712613.8574,5366167.589,Tertiär-Hügelland Donau-Süd,A,0,GG,cGGa,GWS3,70,0,0,N0,,GG,TSF,Z,99.85,61.89,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5002_Z_1.GIF
5003,BY,3,2014,722253.4653,5364220.825,Tertiär-Hügelland Donau-Süd,A,0,BB,vLL-BB,0,>200,0,0,N2.2,EE,VV,H,U,71.57,29.73,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5003_Z_1.GIF
5004,BY,9,2013,730086.7519,5362134.282,Tertiär-Hügelland Donau-Süd,A,0,SS,vYK-SS,0,>200,0,0,N2.2,NN,GV,HR,U,60.67,41.83,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5004_Z_1.GIF
5005,BY,3,2014,736245.5524,5365163.971,Tertiär-Hügelland Donau-Süd,A,0,SS,SSn,0,>200,0,0,N3.1,SS,XX,H,Z,49.36,29.58,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5005_Z_1.GIF
5007,BY,10,2013,750979.6685,5365394.349,"Gäu, Donau- und Inntal",A,0,SS,SSn,0,>200,0,0,N2.2,SW,GG,H,M,61.85,25.56,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5007_Z_1.GIF
5008,BY,9,2013,761671.9033,5363233.77,"Gäu, Donau- und Inntal",A,0,BB,SS-BB,0,>200,0,0,N2.2,NN,GG,H,M,68.37,31.89,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5008_Z_1.GIF
5010,BY,10,2014,777617.3508,5361430.65,Moränen-Hügelland und Voralpenland,A,0,BB,SS-BB,0,>200,0,0,N0,,XX,KSF,K,87.65,28.86,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5010_Z_1.GIF
5011,BY,10,2014,784360.6795,5363646.968,Moränen-Hügelland und Voralpenland,A,0,BB,SS-BB,0,>200,0,0,N2.2,NE,VG,THS,U,62.84,43.56,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5011_Z_1.GIF
5012,BY,4,2015,793818.4006,5364770.347,"Gäu, Donau- und Inntal",A,0,SS,vYK-SS,0,>200,0,0,N2.2,NE,GG,H,U,59.65,32.19,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5012_Z_1.GIF
5013,BY,9,2014,801391.8716,5362092.025,"Gäu, Donau- und Inntal",A,0,BB,BBn,0,>200,0,0,N1,WW,XX,KHR,O,54.57,19.62,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5013_Z_1.GIF
5014,BY,11,2013,811272.7875,5362767.766,"Gäu, Donau- und Inntal",A,0,BB,sLL-BB,0,>200,0,0,N2.2,NN,XX,H,O,54.54,23.96,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5014_Z_1.GIF
5015,BY,11,2013,815414.3776,5365317.117,"Gäu, Donau- und Inntal",A,0,BB,BBn,0,NA,0,0,N0.1,,GG,V,Z,59.88,16.21,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5015_Z_1.GIF
5022,BW,9,2015,455615.7738,5350090.658,Schwarzwald,A,0,BB,BBn,0,>200,0,0,N3,NE,XV,H,U,64.07,24.35,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5022_Z_1.GIF
5023,BW,10,2015,464790.9637,5353034.816,Schwarzwald,A,0,CF,sBB-CF,0,>200,0,0,N2.2,EE,XX,H,O,82.13,23.27,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5023_Z_1.GIF
5024,BW,10,2015,472799.4115,5350164.114,"Schwäbische Alb, Baar",G,0,RZ,sRZn,0,NA,0,0,N2,NW,XX,KSF,R,100.1,31.47,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5024_Z_1.GIF
5026,BW,10,2015,490010.9701,5353661.641,Oberes Gäu und körnermaisfähige Übergangslagen,A,0,RZ,RZn,GWS6,NA,0,0,N1,EE,XX,H,R,42.66,4.0199999999999996,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5026_Z_1.GIF
5030,BW,3,2016,519306.3362,5352792.839,"Schwäbische Alb, Baar",G,0,RQ,BB-RQ,0,>200,0,0,N2,EE,XX,H,O,92.91,0.37,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5030_Z_1.GIF
5031,BW,3,2016,531012.2577,5351366.312,"Schwäbische Alb, Baar",G,0,YK,YKn,0,>200,0,0,N3,NN,VX,H,G,104.79,112.68,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5031_Z_1.GIF
5033,BW,4,2015,546468.239,5355147.785,"Schwäbische Alb, Baar",A,0,YK,SS-YK,0,>200,0,0,N0,,VV,HR,T,105.44,68.45,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5033_Z_1.GIF
5038,BY,9,2015,584639.394,5354462.891,Tertiär-Hügelland Donau-Süd,A,0,AB,SS-AB,0,>200,0,0,N0.1,,GG,V,Z,50.97,42.88,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5038_Z_1.GIF
5040,BY,10,2013,599079.7049,5352032.947,Tertiär-Hügelland Donau-Süd,G,1,ZZ,>GGn,GWS3,80,160,110,N2,EE,XG,H,M,89.42,406.73,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5040_Z_1.GIF
5042,BY,10,2013,617012.8622,5354807.903,Tertiär-Hügelland Donau-Süd,G,0,LL,SS-LL,0,>200,0,0,N2.2,EE,XG,H,M,71.1,40.409999999999997,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5042_Z_1.GIF
5043,BY,9,2013,624750.3936,5357036.311,Tertiär-Hügelland Donau-Süd,A,0,BB,BBn,0,>200,0,0,N2.2,SS,GG,THM,Z,30.01,8.5,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5043_Z_1.GIF
5046,BY,10,2013,649974.471,5356719.628,Tertiär-Hügelland Donau-Süd,A,0,YK,GG-YK,0,>200,0,0,N1,SS,GG,TSF,R,86.28,62.54,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5046_Z_1.GIF
5047,BY,8,2013,657977.4079,5352058.601,Tertiär-Hügelland Donau-Süd,A,0,SS,BB-SS,0,>200,0,0,N2,SE,XX,KSF,R,59.73,29.62,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5047_Z_1.GIF
5048,BY,8,2013,663411.7462,5352396.105,Tertiär-Hügelland Donau-Süd,A,0,BB,kBBn,0,>200,0,0,N2.2,EE,GX,TSF,Z,50.02,58.97,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5048_Z_1.GIF
5049,BY,8,2013,673018.9909,5356417.381,Tertiär-Hügelland Donau-Süd,A,0,YK,YK/SS-BB,0,>200,0,0,N2.1,NW,XV,KHR,R,50.89,41.12,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5049_Z_1.GIF
5051,BY,8,2013,690793.3319,5354510.591,Tertiär-Hügelland Donau-Süd,A,0,AB,cABn,GWS5,NA,0,0,N0,,GG,V,Z,77.19,15.69,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5051_Z_1.GIF
5054,BY,8,2014,710700.867,5357075.498,Tertiär-Hügelland Donau-Süd,A,0,TT,s2LL-TT,0,>200,0,0,N1,SW,GG,H,M,72.61,49.92,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5054_Z_1.GIF
5055,BY,2,2015,721689.8191,5355393.061,Tertiär-Hügelland Donau-Süd,A,0,BB,SS-BB,0,>200,0,0,N1,EE,GG,H,M,46.85,34.26,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5055_Z_1.GIF
5056,BY,3,2014,728304.4716,5356826.614,Tertiär-Hügelland Donau-Süd,A,0,YK,YKn,0,>200,0,0,N3,NN,GV,H,O,51.94,50.1,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5056_Z_1.GIF
5057,BY,8,2014,734280.473,5355533.504,Moränen-Hügelland und Voralpenland,G,0,BB,SS-BB,0,>200,0,0,N2.2,SS,GG,H,O,100.28,23.82,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5057_Z_1.GIF
5059,BY,9,2013,752908.4071,5353187.296,Moränen-Hügelland und Voralpenland,A,0,YK,YK/SS-BB,0,>200,0,0,N3.2,SS,VG,H,M,64.12,75.150000000000006,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5059_Z_1.GIF
5060,BY,10,2013,762487.2983,5355577.553,"Gäu, Donau- und Inntal",A,0,SS,LL-SS,0,>200,0,0,N2.2,EE,GG,H,M,67.44,17.7,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5060_Z_1.GIF
5061,BY,12,2014,771015.9303,5354146.352,"Gäu, Donau- und Inntal",A,0,BB,SS-BB,0,>200,0,0,N2.2,NW,VG,H,U,69.61,70.08,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5061_Z_1.GIF
5065,BY,8,2014,800713.5413,5353860.263,Moränen-Hügelland und Voralpenland,G,0,SS,gSS,GWS4,80,0,0,N2.2,SS,GG,H,M,96.42,22.71,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5065_Z_1.GIF
5066,BW,12,2014,411743.8628,5341641.09,Rheinebene und Nebentäler,A,0,YK,g2YKn,0,>200,0,0,N0,,GG,V,G,58.0,52.08,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5066_Z_1.GIF
5067,BW,9,2015,419340.7102,5345313.332,Rheinebene und Nebentäler,G,0,LL,LLn,0,>200,0,0,N4,NE,GG,H,M,62.34,19.73,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5067_Z_1.GIF
5070,BW,7,2015,438881.2879,5342971.131,Schwarzwald,G,0,BB,BBn,0,>200,0,0,N5,SE,GG,H,M,67.82,18.71,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5070_Z_1.GIF
5071,BW,6,2015,450766.6519,5343987.451,Schwarzwald,G,0,BB,BBn,0,NA,0,0,N3.2,SE,XX,H,Z,95.96,39.46,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5071_Z_1.GIF
5072,BW,7,2015,454987.8697,5344643.854,Schwarzwald,G,0,SS,SSn,0,NA,0,0,N2.2,EE,VX,HF,R,80.18,17.91,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5072_Z_1.GIF
5073,BW,9,2015,465078.3319,5346989.817,"Schwäbische Alb, Baar",A,0,YK,YKn,0,>200,0,0,N3.2,EE,VV,H,Z,79.26,104.96,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5073_Z_1.GIF
5074,BW,9,2015,472315.1995,5346622.937,"Schwäbische Alb, Baar",A,0,DD,SS-DD,0,>200,0,0,N1,EE,GV,HR,U,96.41,180.63,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5074_Z_1.GIF
5076,BW,11,2015,488809.2905,5346242.668,"Schwäbische Alb, Baar",G,0,AT,rATn,GWS6,NA,0,0,N1,NE,GG,V,Z,116.36,142.61000000000001,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5076_Z_1.GIF
5080,BW,4,2015,519783.9771,5342655.285,"Schwäbische Alb, Baar",A,0,YK,YK/eCF,0,>200,0,0,N1,NN,GG,E,Z,88.4,64.599999999999994,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5080_Z_1.GIF
5081,BW,10,2015,530039.6898,5344799.93,"Schwäbische Alb, Baar",A,0,RR,BB-RR,0,>200,0,0,N2,SS,GG,H,M,75.14,1.47,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5081_Z_1.GIF
5084,BW,9,2015,552028.2111,5345827.408,"Schwäbische Alb, Baar",A,0,RZ,BB-RZ,0,>200,0,0,N1,EE,XG,H,O,72.15,39.880000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5084_Z_1.GIF
5088,BY,10,2013,585957.1217,5344317.173,Tertiär-Hügelland Donau-Süd,G,0,GG,GGa,GWS3,100,0,0,N0,,GG,TSF,T,121.18,25.57,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5088_Z_1.GIF
5090,BY,8,2013,601471.8063,5343755.01,Tertiär-Hügelland Donau-Süd,A,0,YK,YK/eLL-SS,0,>200,0,0,N2.2,SW,GG,H,M,43.71,28.72,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5090_Z_1.GIF
5091,BY,10,2013,607008.5037,5347055.825,Tertiär-Hügelland Donau-Süd,A,0,GG,cGGa,GWS3,88,0,0,N0,,GG,TSF,T,110.04,30.9,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5091_Z_1.GIF
5096,BY,11,2013,650354.3703,5347691.381,Tertiär-Hügelland Donau-Süd,A,0,ZZ,>YK/GN,GWS5.1,170,0,0,N0,,GG,TS,Z,139.96,162.05000000000001,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5096_Z_1.GIF
5097,BY,11,2013,659837.8751,5345755.304,Tertiär-Hügelland Donau-Süd,A,0,YK,sYKn,0,>200,0,0,N2.2,SS,GG,H,M,51.47,17.52,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5097_Z_1.GIF
5098,BY,8,2013,663154.378,5346386.495,Tertiär-Hügelland Donau-Süd,A,0,BB,SS-BB,0,>200,0,0,N2.2,NW,XG,HF,Z,64.25,20.67,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5098_Z_1.GIF
5102,BY,8,2013,697795.5881,5345227.57,Tertiär-Hügelland Donau-Süd,A,0,AZ,AZn,0,NA,0,0,N1,WW,GG,TH,Z,50.27,19.38,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5102_Z_1.GIF
5103,BY,8,2014,706183.9368,5346839.475,Tertiär-Hügelland Donau-Süd,A,1,KV,c.rKVn,GWS2,50,38,38,N0,,GG,TSF,T,227.58,88.15,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5103_Z_1.GIF
5104,BY,7,2013,713654.9106,5350149.573,Tertiär-Hügelland Donau-Süd,A,0,LL,vSS-LL,0,>200,0,0,N1,NE,GG,H,M,61.8,31.43,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5104_Z_1.GIF
5108,BY,8,2014,746838.7937,5346878.788,Moränen-Hügelland und Voralpenland,G,0,YK,SS-YK,0,NA,0,0,N2,NW,GG,H,M,99.52,41.28,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5108_Z_1.GIF
5109,BY,10,2013,751993.4992,5347914.753,Moränen-Hügelland und Voralpenland,A,0,BB,BBn,0,NA,0,0,N0,,GG,V,Z,59.88,25.55,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5109_Z_1.GIF
5110,BY,11,2013,761207.6926,5346747.779,"Gäu, Donau- und Inntal",A,0,RZ,RZn,0,>200,0,0,N0.1,,GG,TSF,Z,47.93,19.02,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5110_Z_1.GIF
5111,BY,9,2014,771075.8347,5347597.202,"Gäu, Donau- und Inntal",A,0,AB,GG-AB,0,>200,0,0,N0,,GG,TSF,T,79.08,81.040000000000006,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5111_Z_1.GIF
5114,BY,11,2013,795198.9114,5349660.715,Moränen-Hügelland und Voralpenland,A,0,BB,BBn,0,>200,0,0,N0.1,,GG,TSF,Z,66.57,41.93,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5114_Z_1.GIF
5115,BW,12,2014,400707.1769,5336653.428,Rheinebene und Nebentäler,A,0,AB,ABn,GWS5.1,160,0,0,N0,,GG,V,Z,48.33,58.09,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5115_Z_1.GIF
5116,BW,3,2016,410148.9833,5336029.497,Rheinebene und Nebentäler,SO,0,YY,cYYn,0,>200,0,0,N2.2,SW,GG,H,M,48.71,57.83,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5116_Z_1.GIF
5117,BW,3,2015,420355.6675,5335200.662,Schwarzwald,A,0,YK,vSS-YK,0,>200,0,0,N3.2,WW,XX,H,O,85.92,29.14,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5117_Z_1.GIF
5121,BW,8,2015,449389.3373,5334537.233,Schwarzwald,G,0,BB,BBh,0,>200,0,0,N4,NE,VG,HF,M,89.44,62.72,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5121_Z_1.GIF
5122,BW,8,2015,456577.6477,5334819.015,Schwarzwald,A,0,BB,BBn,0,>200,0,0,N2.2,SS,GG,H,M,50.72,15.64,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5122_Z_1.GIF
5123,BW,8,2016,466471.6252,5336774.525,"Schwäbische Alb, Baar",G,0,AB,c.g2SS-AB,GWS4,125,0,0,N0.1,,0,TS,T,112.79,119.18,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5123_Z_1.GIF
5124,BW,10,2015,473687.9446,5338674.76,"Schwäbische Alb, Baar",A,0,DD,DDn,0,NA,0,0,N2,NE,XG,H,Z,140.68,125.51,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5124_Z_1.GIF
5128,BW,10,2015,503714.2883,5337646.568,"Schwäbische Alb, Baar",A,0,RR,CF-RR,0,>200,0,0,N2.2,NE,VG,HZ,M,94.31,22.68,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5128_Z_1.GIF
5130,BW,10,2015,522524.4494,5337223.618,"Schwäbische Alb, Baar",G,0,CF,CFn,0,>200,0,0,N3,NW,XX,H,O,160.99,30.88,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5130_Z_1.GIF
5131,BW,8,2015,527498.808,5336481.724,"Schwäbische Alb, Baar",A,0,RZ,BB-RZ,0,>200,0,0,N1,SW,GV,HF,O,66.02,18.47,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5131_Z_1.GIF
5132,BW,11,2015,539387.3949,5335452.976,"Schwäbische Alb, Baar",G,0,AB,cABn,GWS5,170,0,0,N0,,GG,TSF,Z,113.11,60.72,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5132_Z_1.GIF
5133,BW,8,2015,543734.6604,5336639.331,Tertiär-Hügelland Donau-Süd,A,0,LL,SS-LL,0,>200,0,0,N2,NN,XG,H,O,60.93,27.76,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5133_Z_1.GIF
5134,BW,2,2015,551276.8131,5336438.716,Tertiär-Hügelland Donau-Süd,A,0,SS,YK-SS,0,>200,0,0,N1,WW,VG,H,U,58.1,38.770000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5134_Z_1.GIF
5135,BW,8,2015,559855.0489,5337292.688,Tertiär-Hügelland Donau-Süd,A,0,YK,SS-YK,0,>200,0,0,N2.2,NE,GV,T,T,60.52,34.979999999999997,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5135_Z_1.GIF
5136,BW,11,2015,570235.8092,5339540.164,Tertiär-Hügelland Donau-Süd,A,0,SS,LL-SS,0,>200,0,0,N1,EE,GG,H,M,44.93,32.06,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5136_Z_1.GIF
5137,BW,5,2015,576563.9036,5339282.085,Tertiär-Hügelland Donau-Süd,A,0,YK,YK/BB-LL,0,>200,0,0,N3.1,NN,GG,H,M,60.52,31.12,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5137_Z_1.GIF
5138,BY,8,2013,586829.7242,5339479.873,Tertiär-Hügelland Donau-Süd,A,0,ZZ,>GG-YK,0,>200,0,0,N0,,GG,TS,T,56.86,48.03,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5138_Z_1.GIF
5139,BY,10,2014,593068.9623,5336096.622,Tertiär-Hügelland Donau-Süd,A,0,GGc,GGa-GGc,GWS5.1,140,0,0,N0,,GG,TS,Z,86.23,3.32,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5139_Z_1.GIF
5140,BY,10,2013,599806.3026,5336675.008,Tertiär-Hügelland Donau-Süd,G,0,BB,s2BBn,0,>200,0,0,N4,WW,XG,H,M,56.32,38.07,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5140_Z_1.GIF
5141,BY,10,2013,611865.5263,5337313.261,Tertiär-Hügelland Donau-Süd,A,0,YK,s2YKn,0,>200,0,0,N0.2,NW,VG,V,R,52.34,51.92,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5141_Z_1.GIF
5144,BY,10,2013,634880.0376,5340205.78,Tertiär-Hügelland Donau-Süd,A,0,BB,s2LL-BB,0,>200,0,0,N0,,GG,V,Z,46.85,39.299999999999997,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5144_Z_1.GIF
5145,BY,11,2013,643212.7231,5337355.307,Tertiär-Hügelland Donau-Süd,G,0,RZ,RZn,0,NA,0,0,N0,,GG,V,Z,53.76,0.3,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5145_Z_1.GIF
5146,BY,11,2013,649621.4846,5340112.174,Tertiär-Hügelland Donau-Süd,A,0,BB,LL-BB,0,NA,0,0,N2,WW,GG,HF,M,53.29,31.03,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5146_Z_1.GIF
5148,BY,8,2013,666743.8283,5336784.901,Tertiär-Hügelland Donau-Süd,A,0,BB,BBn,0,>200,0,0,N0.2,NN,GG,TS,Z,63.92,14.28,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5148_Z_1.GIF
5150,BY,11,2013,679798.6317,5337783.888,Tertiär-Hügelland Donau-Süd,A,0,RZ,RZn,GWS5,150,0,0,N0,,GG,TSF,Z,88.81,13.8,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5150_Z_1.GIF
5152,BY,8,2013,695515.3927,5339924.324,Tertiär-Hügelland Donau-Süd,A,0,RZ,RZn,0,NA,0,0,N0.1,,GG,T,Z,126.79,8.86,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5152_Z_1.GIF
5153,BY,8,2013,703961.1353,5339455.456,Tertiär-Hügelland Donau-Süd,A,0,RZ,BB-RZ,0,>200,0,0,N0,,GG,V,Z,56.73,24.27,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5153_Z_1.GIF
5154,BY,8,2013,712561.9557,5339215.6,Tertiär-Hügelland Donau-Süd,A,1,GH,c.rGHn,GWS2,100,25,25,N0.2,WW,GG,V,R,193.83,15.71,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5154_Z_1.GIF
5155,BY,12,2013,718573.7065,5338211.792,Tertiär-Hügelland Donau-Süd,G,0,BB,BBn,0,>200,0,0,N0,,GG,V,Z,74.62,7.26,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5155_Z_1.GIF
5157,BY,10,2014,739625.5457,5338513.45,Moränen-Hügelland und Voralpenland,G,0,YK,cYK/BB,0,NA,0,0,N3,SS,GG,HF,M,91.6,31.75,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5157_Z_1.GIF
5159,BY,5,2015,751041.7084,5341046.085,"Gäu, Donau- und Inntal",A,0,SS,BB-SS,0,>200,0,0,N2.2,NE,XX,H,M,71.78,17.45,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5159_Z_1.GIF
5162,BY,11,2013,776988.4843,5341982.169,Moränen-Hügelland und Voralpenland,A,0,BB,LL-BB,0,>200,0,0,N2,NW,GG,HF,M,56.59,34.549999999999997,https://atlas.thuenen.de/webspace/bze_profilbilder/BY_5162_Z_1.GIF
5163,BW,12,2014,401847.2822,5328688.104,Rheinebene und Nebentäler,SO,0,ZZ,>SS-RZ,0,>200,0,0,N0,,GG,H,U,30.77,40.35,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5163_Z_1.GIF
5164,BW,3,2015,411389.9053,5325168.771,Rheinebene und Nebentäler,G,0,GG,GGa,GWS3,50,0,0,N0.1,,GG,T,Z,85.47,30.07,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5164_Z_1.GIF
5165,BW,8,2016,415355.0641,5328968.645,Rheinebene und Nebentäler,A,0,AB,SS-AB,0,>200,0,0,N0,,GG,TSF,Z,44.56,34.369999999999997,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5165_Z_1.GIF
5166,BW,6,2015,423850.2765,5325956.266,Schwarzwald,G,0,YK,YK/BB,0,>200,0,0,N5,NE,GX,H,M,72.55,83.29,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5166_Z_1.GIF
5168,BW,8,2015,439888.4451,5326840.009,Schwarzwald,G,1,KV,rKVn,GWS4,60,53,53,N2,EE,XG,THF,M,231.3,226.35,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5168_Z_1.GIF
5176,BW,6,2015,503893.0239,5326561.329,"Schwäbische Alb, Baar",G,0,CF,BB-CF,0,>200,0,0,N0.2,SE,XX,K,Z,105.05,2.09,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5176_Z_1.GIF
5178,BW,8,2015,522203.5258,5329376.48,"Schwäbische Alb, Baar",A,0,RZ,BB-RZ,0,>200,0,0,N2,NW,GX,KH,R,55.77,22.95,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5178_Z_1.GIF
5180,BW,10,2015,536784.6029,5331237.954,Tertiär-Hügelland Donau-Süd,A,0,YK,sYK/LL-SS,0,>200,0,0,N0.2,NE,GG,V,Z,43.52,57.96,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5180_Z_1.GIF
5181,BW,3,2015,542888.0201,5328846.089,Tertiär-Hügelland Donau-Süd,A,0,BB,sLL-BB,0,>200,0,0,N0.1,,XG,KSF,R,52.12,24.83,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5181_Z_1.GIF
5182,BW,5,2015,553291.5833,5328321.844,Tertiär-Hügelland Donau-Süd,G,0,GG,YK-SS-GG,GWS4,110,0,0,N0.2,EE,VV,V,R,108.82,121.79,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5182_Z_1.GIF
5183,BW,4,2015,561034.4603,5328148.443,Tertiär-Hügelland Donau-Süd,G,0,YK,YKn,0,>200,0,0,N2,NE,GX,H,U,63.97,28.23,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5183_Z_1.GIF
5184,BW,5,2015,570645.6254,5328404.153,Tertiär-Hügelland Donau-Süd,A,0,BB,BBn,0,>200,0,0,N3.2,NW,XG,H,O,29.05,4.7699999999999996,https://atlas.thuenen.de/webspace/bze_profilbilder/BW_5184_Z_1.GIF
